Question,Probable Answer,Type
Count the number of assets in Biofilter 11

complex:
total assets in the graph
Count the number of assets in Biofilter
Count the number of assets in Biofilter connect with hall 1



Count the number of assets in Biofilter 11.,1,Count Items in Location (EN)
Count the number of items in Biofilter 11.,1,Count Items in Location (EN)
Count the number of items in Biofilter 11.,1,Count Items in Location (EN)
Count the number of items in Biofilter 12.,1,Count Items in Location (EN)
Count the number of items in Biofilter 13.,1,Count Items in Location (EN)
Count the number of items in Biofilter 13.,1,Count Items in Location (EN)
Count the number of items in Biofilter 14.,1,Count Items in Location (EN)
Count the number of items in Biofilter 15.,1,Count Items in Location (EN)
Count the number of items in Biofilter 15.,1,Count Items in Location (EN)
Count the number of items in Biofilter 2.,1,Count Items in Location (EN)
Count the number of items in Biofilter 3.,1,Count Items in Location (EN)
Count the number of items in Biofilter 3.,1,Count Items in Location (EN)
Count the number of items in Biofilter 4.,1,Count Items in Location (EN)
Count the number of items in Biofilter 4.,1,Count Items in Location (EN)
Count the number of items in Biofilter 5.,1,Count Items in Location (EN)
Count the number of items in Biofilter 7.,1,Count Items in Location (EN)
Count the number of items in Biofilter 7.,1,Count Items in Location (EN)
Count the number of items in Biofilter 7.,1,Count Items in Location (EN)
Count the number of items in CenterChannel.,13,Count Items in Location (EN)
Count the number of items in CenterChannel.,12,Count Items in Location (EN)
Count the number of items in CenterChannel.,12,Count Items in Location (EN)
Count the number of items in Hall 4.,2,Count Items in Location (EN)
Count the number of items in Reservoir100.,1,Count Items in Location (EN)
Count the number of items in Reservoir100.,1,Count Items in Location (EN)
Count the number of items in SensorTray.,2,Count Items in Location (EN)
Count the number of items in Tank_2.,3,Count Items in Location (EN)
Count the number of items in Tank_2.,3,Count Items in Location (EN)
Count the number of items in Tank_3.,3,Count Items in Location (EN)
Count the number of items in Tank_4.,3,Count Items in Location (EN)
Count the number of items in Treatment area.,1,Count Items in Location (EN)
Count the number of items in Treatment area.,1,Count Items in Location (EN)
How many items are located in Biofilter 10?,1,Count Items in Location (EN)
How many items are located in Biofilter 10?,1,Count Items in Location (EN)
How many items are located in Biofilter 10?,1,Count Items in Location (EN)
How many items are located in Biofilter 12?,1,Count Items in Location (EN)
How many items are located in Biofilter 14?,1,Count Items in Location (EN)
How many items are located in Biofilter 14?,1,Count Items in Location (EN)
How many items are located in Biofilter 15?,1,Count Items in Location (EN)
How many items are located in Biofilter 16?,1,Count Items in Location (EN)
How many items are located in Biofilter 16?,1,Count Items in Location (EN)
How many items are located in Biofilter 16?,1,Count Items in Location (EN)
How many items are located in Biofilter 4?,1,Count Items in Location (EN)
How many items are located in Biofilter 5?,1,Count Items in Location (EN)
How many items are located in Biofilter 6?,1,Count Items in Location (EN)
How many items are located in Biofilter 6?,1,Count Items in Location (EN)
How many items are located in Biofilter 8?,1,Count Items in Location (EN)
How many items are located in Biofilter 8?,1,Count Items in Location (EN)
How many items are located in CenterChannel?,12,Count Items in Location (EN)
How many items are located in Hall 2?,10,Count Items in Location (EN)
How many items are located in Reservoir100?,1,Count Items in Location (EN)
How many items are located in Reservoir200?,1,Count Items in Location (EN)
How many items are located in SensorTray?,2,Count Items in Location (EN)
How many items are located in SensorTray?,2,Count Items in Location (EN)
How many items are located in Tank_1?,3,Count Items in Location (EN)
How many items are located in Tank_1?,3,Count Items in Location (EN)
How many items are located in Tank_2?,3,Count Items in Location (EN)
How many items are located in Tank_3?,3,Count Items in Location (EN)
How many items are located in Tank_3?,3,Count Items in Location (EN)
How many items are located in Tank_4?,3,Count Items in Location (EN)
How many items are located in Tank_4?,3,Count Items in Location (EN)
How many items are located in Treatment area?,1,Count Items in Location (EN)
What's the total count of items present in Biofilter 12?,1,Count Items in Location (EN)
What's the total count of items present in Biofilter 13?,1,Count Items in Location (EN)
What's the total count of items present in Biofilter 1?,1,Count Items in Location (EN)
